Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,Average(1960-1964),1965,1966,1967,1968,1969,Average(1965-1969),1970,1971,1972,1973,1974,AVERAGE(1970-1974),1975,1976,1977,1978,1979,Average(1975-1979),1980,1981,1982,1983,1984,average(1980-1984),1985,1986,1987,1988,1989,Average(1985-1989),1990,1991,1992,1993,1994,Avergae(1990-1994),1995,1996,1997,1998,1999,Average(1995-1999),2000,2001,2002,2003,2004,Average(2000-2004),2005,2006,2007,2008,2009,Average(2005-2009),2010,2011,2012,2013,2014,Average(2010-2014),2015,2016,2017,2018,2019,Average(2015-2019),2020,2021
Bahrain,BHR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,2.13,4.26,3.26,-0.19,1.54,1.63,5.79,5.09,14.33,24.39,10.25,16.16,22.5,17.73,15.79,2.21,14.88,3.87,11.34,8.89,2.97,0.32,5.48,-2.64,-2.3,-1.75,0.3,1.49,-0.98,0.93,0.76,-0.17,2.54,0.82,0.98,2.7,-0.45,2.43,-0.37,-1.29,0.61,-0.7,-1.21,-0.5,1.59,2.35,0.31,2.59,2.01,3.26,3.53,2.8,2.83,1.96,-0.4,2.76,3.3,2.65,2.05,1.85,2.79,1.39,2.09,1.01,1.82,-2.32,-0.61
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,5.44,4.54,8.94,4.64,6.15,4.61,6.83,5.48,13.07,7.23,10.36,4.26,3.19,6.11,9.09,6.6,12.1,11.11,6.01,4,3.97,7.44,4.61,5.43,5.76,4.4,5.39,5.12,4.67,7.11,5.74,2.72,1.4,4.33,2.07,1.38,0.54,1.34,1.25,1.32,1.61,2.04,2.17,3.03,0.98,1.97,1.59,2.39,2.49,4.49,2.06,2.61,1.34,3.2,1.97,0.72,1.51,1.75,1.86,-0.35,1.52,2.27,2.49,1.56,0.04,2.9
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,1.5,7.43,-0.38,2.93,2,3.67,2.05,-0.09,-0.9,1.35,-1.04,-1.58,0.81,1.42,0.56,0.03,-1.05,1.98
Belarus,BLR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190.23,2221.02,682.25,709.35,52.71,63.94,72.87,293.68,238.51,168.62,61.13,42.54,28.4,18.11,63.76,10.34,7,8.43,14.84,12.95,10.71,7.74,53.23,59.22,18.31,18.12,31.32,13.53,11.84,6.03,4.87,5.6,8.37,5.55,9.46
Belize,BLZ,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,"Inflation, consumer prices (annual %)",11.53,7.56,5.88,-0.71,10.18,6.89,2.86,6.95,11.2,5.47,2.21,5.15,3.96,3.67,6.51,31.49,62.84,21.69,7.98,4.49,8.11,10.36,19.72,10.13,47.24,32.13,123.54,275.59,1281.35,351.97,11749.64,276.34,14.58,16,15.17,2414.35,17.12,21.45,12.06,8.53,7.87,13.41,10.19,12.43,4.71,7.67,2.16,7.43,4.61,1.59,0.93,3.34,4.44,2.98,5.39,4.28,8.71,14.01,3.35,7.15,2.5,9.88,4.52,5.74,5.77,5.68,4.06,3.62,2.82,2.27,1.84,2.92,0.94,0.74
Brazil,BRA,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.73,100.54,135.03,192.12,105.88,225.99,147.14,228.34,629.11,1430.72,532.26,2947.73,432.79,951.96,1927.38,2075.89,1667.15,66.01,15.76,6.93,3.2,4.86,19.35,7.04,6.84,8.45,14.71,6.6,8.73,6.87,4.18,3.64,5.68,4.89,5.05,5.04,6.64,5.4,6.2,6.33,5.92,9.03,8.74,3.45,3.66,3.73,5.72,3.21,8.3
Barbados,BRB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,3.63,7.49,5.84,3.8,7.28,7.47,11.88,16.86,38.92,16.48,20.29,4.99,8.35,9.48,13.17,11.26,14.43,14.57,10.33,5.23,4.69,9.85,3.92,1.33,3.31,4.86,6.19,3.92,3.07,6.26,6.09,1.11,0.08,3.32,1.88,2.39,7.71,-1.27,1.56,2.45,2.44,2.58,0.13,1.62,1.39,1.63,6.08,7.31,4.03,8.11,3.64,5.84,5.82,9.43,4.53,1.81,1.77,4.67,-1.11,1.28,4.66,3.67,4.1,2.52,0,0
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14,6.36,1.17,3.07,3.95,2.35,1.78,1.25,1.19,1.3,1.58,2.14,1.6,1.28,4.25,2.46,2.35,5.97,2,1.71,-0.44,-0.42,1.76,1.56,0.6,-2.31,0.3,0.81,0.19,1.24,0.16,0.97,2.08,1.04,1.1,0.36,0.14,0.11,0.39,-0.21,0.16,-0.49,-0.28,-1.26,1.03,-0.39,-0.28,1.94,1.73
