country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
Kuwait,KWT,"Inflation, consumer prices (annual %)",0,0,0,7.85,5.6,1.58,4.25,2.1,1.24,5.58,3.64,2.6,2.1,3.42
Latin America & Caribbean (excluding high income),LAC,"Inflation, consumer prices (annual %)",2.73,2.72,2.72,12.24,12.85,17.35,17.97,8.9,5.98,5.82,3.86,2.82,2,4.27
Lao PDR,LAO,"Inflation, consumer prices (annual %)",0,0,0,0,0,12.27,14.4,55.28,13.9,5.23,5.66,1.81,5.1,3.76
Lebanon,LBN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0.24,4.44,1.77,84.86,154.76
Liberia,LBR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,6.46,1.9,8.1,1.51,0,0
Libya,LBY,"Inflation, consumer prices (annual %)",0,8.49,4.24,8.84,1.86,4.88,9.18,4.23,5.18,4.64,5.4,0,0,0
St. Lucia,LCA,"Inflation, consumer prices (annual %)",0,2.36,1.18,11.31,8.38,3.17,3.84,2.65,2.25,2.9,3.4,0.3,1.76,2.41
Latin America & Caribbean,LCN,"Inflation, consumer prices (annual %)",0,2.6,1.3,12.46,12.68,11.78,15.21,6.99,4.19,4.96,3.69,2.18,1.38,4.26
Least developed countries: UN classification,LDC,"Inflation, consumer prices (annual %)",0,0,0,0,0,7.34,13.47,9.14,4.84,7.58,5.93,4.27,4.72,5.55
Low income,LIC,"Inflation, consumer prices (annual %)",0,0,0,0,1.91,8.71,13.16,8.2,4.73,8.26,5.96,5.31,5.93,7.89
Liechtenstein,LIE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,"Inflation, consumer prices (annual %)",1.31,3.84,2.58,6.41,17.11,8.55,13.5,9.45,8.76,12.71,6.11,4.22,6.15,7.1
Lower middle income,LMC,"Inflation, consumer prices (annual %)",0,0,0,1.8,12.11,8.6,11.7,8.4,4.28,6.68,5.19,3.46,3.47,4.48
Low & middle income,LMY,"Inflation, consumer prices (annual %)",0,0,0,0,8.96,8.81,13.28,8.12,4.7,6.74,4.66,3.1,2.95,4.26
Lesotho,LSO,"Inflation, consumer prices (annual %)",0,0,0,14.36,13.86,13.85,13.57,3.72,8.4,7.11,4.96,4.84,4.98,6.5
Late-demographic dividend,LTE,"Inflation, consumer prices (annual %)",0,0,0,0,0,3.83,8.49,5.99,3.73,5.19,3.14,1.87,1.94,3.5
Lithuania,LTU,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,3.67,15.79,0.53,5.5,1.94,1.76,1.2,4.68
Luxembourg,LUX,"Inflation, consumer prices (annual %)",1.56,2.67,2.12,6.97,7.77,1.83,3.6,1.28,2.43,2.25,2.14,1.15,0.82,2.53
Latvia,LVA,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,219.32,11.61,3.24,8.46,1.23,1.72,0.22,3.28
"Macao SAR, China",MAC,"Inflation, consumer prices (annual %)",0,0,0,0,0,1.75,7.64,2.77,1.36,4.98,5.25,2.78,0.81,0
St. Martin (French part),MAF,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,"Inflation, consumer prices (annual %)",4,1.34,2.67,9.41,1.22,4.96,6.17,2.72,1.59,2.2,1.1,1.21,0.71,1.4
Monaco,MCO,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,MDA,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,625.37,22.42,14.13,9.96,5.88,6.1,3.77,5.11
Madagascar,MDG,"Inflation, consumer prices (annual %)",0,2.81,1.4,7.37,21.95,15.18,16.77,17.89,9.71,11.53,7.27,7.25,4.2,0
Maldives,MDV,"Inflation, consumer prices (annual %)",0,0,0,0,0,6.61,11.75,4.17,0.15,5.48,6.85,0.87,1.37,0.54
Middle East & North Africa,MEA,"Inflation, consumer prices (annual %)",0,0,0,1.7,8.73,5.24,7.57,4.11,2.1,4.99,3.46,1.57,0.67,2.3
Mexico,MEX,"Inflation, consumer prices (annual %)",2.13,3.31,2.72,19.1,56.1,82,16.31,24.5,6.3,4.4,3.9,4.2,3.4,5.69
Marshall Islands,MHL,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle income,MIC,"Inflation, consumer prices (annual %)",0,0,0,4.4,9.4,8.79,11.87,8.13,4.71,6.14,4.35,2.88,2.55,4.9
North Macedonia,MKD,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,25.32,3.88,2.91,2.72,2.25,0.61,1.2,3.23
Mali,MLI,"Inflation, consumer prices (annual %)",0,0,0,0,0,0.2,3.82,4.54,1.2,4.2,1.93,0.1,0.44,3.93
Malta,MLT,"Inflation, consumer prices (annual %)",2.2,1.59,1.81,6.25,6.35,0.8,3.9,2.82,2.32,2.67,1.67,1.18,0.64,1.5
Myanmar,MMR,"Inflation, consumer prices (annual %)",0.5,6.29,3.39,1.5,3.35,16.83,25.55,28.21,23.84,18.53,4.96,7.33,0,0
Middle East & North Africa (excluding high income),MNA,"Inflation, consumer prices (annual %)",0,0,0,1.59,9.84,8.96,12.71,5.78,3.13,5.68,4.39,2.87,2.1,5.63
Montenegro,MNE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,3.9,1.95,1.33,0.26,2.41
Mongolia,MNG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,71.15,2.8,6.43,12.6,11.11,4.98,3.69,7.1
Northern Mariana Islands,MNP,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,9.29,6.6,8.55,3.14,0
Mauritania,MRT,"Inflation, consumer prices (annual %)",0,0,0,0,0,5.97,7.17,5.59,5.48,7.4,4.91,2.47,2.39,0
Mauritius,MUS,"Inflation, consumer prices (annual %)",0.38,2.96,1.67,11.98,16.17,6.14,8.59,6.63,4.93,6.99,4.1,1.91,2.58,4.3
Malawi,MWI,"Inflation, consumer prices (annual %)",0,0,0,0,11.3,19.22,21.12,4.92,17.61,1.89,17.48,15.38,8.63,0
Malaysia,MYS,"Inflation, consumer prices (annual %)",0.54,0.74,0.64,4.8,5.96,1.35,3.8,3.52,1.45,2.93,2.34,1.92,1.14,2.48
North America,NAC,"Inflation, consumer prices (annual %)",1.32,3.79,2.56,8.46,8.11,3.95,3.21,1.99,2.49,2.2,1.9,1.61,0.98,4.5
Namibia,NAM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,2.25,6.47,5.51,4.86,2.21,3.62
New Caledonia,NCL,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,1.13,0.23,0,0
Niger,NER,"Inflation, consumer prices (annual %)",0.2,5.62,2.91,14.65,1.15,3.2,4.36,4.21,1.64,3.96,1.11,0.87,2.9,3.84
Nigeria,NGA,"Inflation, consumer prices (annual %)",3.3,4.98,4.1,21.35,15.9,25.88,35.83,25.45,13.54,11.12,1.66,12.94,13.25,16.95
Nicaragua,NIC,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,6.12,1.68,6.78,4.34,3.68,4.93
Netherlands,NLD,"Inflation, consumer prices (annual %)",3.3,5.28,4.15,6.75,5.4,0.69,2.84,2.2,2.63,1.62,1.91,1.33,1.27,2.68
Norway,NOR,"Inflation, consumer prices (annual %)",3.23,3.57,3.4,8.53,1.11,6.57,2.71,2.18,2.6,2.11,1.71,2.51,1.29,3.48
Nepal,NPL,"Inflation, consumer prices (annual %)",0,4.89,2.45,5.6,1.55,11.13,11.36,7.91,3.35,7.41,9.8,5.98,5.5,4.9
Nauru,NRU,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
New Zealand,NZL,"Inflation, consumer prices (annual %)",2.12,4.4,3.26,14.33,12.44,11.29,2.55,1.68,2.39,2.97,1.95,1.2,1.71,3.94
OECD members,OED,"Inflation, consumer prices (annual %)",2.96,3.84,3.4,11.14,11.3,5.77,5.16,2.78,2.63,2.55,1.96,1.26,0.73,2.82
Oman,OMN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0.5,5.43,2.46,0.76,0.9,1.55
Other small states,OSS,"Inflation, consumer prices (annual %)",0,0,0,0,9.36,5.8,6.11,4.58,3.36,4.87,3.48,1.94,1.83,3.3
Pakistan,PAK,"Inflation, consumer prices (annual %)",2.74,4.36,3.55,1.52,8.43,6.1,1.54,8.89,4.23,11.7,9.88,5.21,9.74,9.5
Panama,PAN,"Inflation, consumer prices (annual %)",0.86,1.22,1.4,5.32,5.81,0.5,1.11,1.8,0.74,4.13,4.34,0.43,1.55,1.63
Peru,PER,"Inflation, consumer prices (annual %)",7.42,11.1,9.26,43.94,84.8,878.57,167.41,8.39,2.37,2.82,2.94,2.74,2,4.27
Philippines,PHL,"Inflation, consumer prices (annual %)",5.7,3.41,4.24,1.15,2.37,1.88,11.44,7.1,3.83,5.48,3.54,2.5,2.39,3.93
Palau,PLW,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0.92,5,3.46,0.74,0.22,2.66
Papua New Guinea,PNG,"Inflation, consumer prices (annual %)",0,0,0,6.85,8.2,4.49,5.21,12.28,1.71,4.55,5.3,5.28,4.87,4.48
Poland,POL,"Inflation, consumer prices (annual %)",0,0,0,5.34,34.66,71.54,152.14,16.28,4.26,2.78,2.29,0.92,3.37,5.6
Pre-demographic dividend,PRE,"Inflation, consumer prices (annual %)",0,0,0,0,0,6.38,13.45,8.15,4.59,7.7,4.96,3.68,3.54,6.4
Puerto Rico,PRI,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Dem. People's Rep.",PRK,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,"Inflation, consumer prices (annual %)",2.54,6.27,4.41,22.7,21.79,12.84,9.45,2.91,3.28,1.92,1.57,0.76,0.1,1.27
Paraguay,PRY,"Inflation, consumer prices (annual %)",6.31,2.22,4.26,11.87,14.86,25.56,23.9,9.7,9.6,7.45,4.86,3.51,1.77,4.79
