country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
Austria,AUT,"Inflation, consumer prices (annual %)",3.29,3.31,3.3,5.71,5.51,2.16,3.44,1.38,2.4,1.93,2.24,1.48,1.38,2.77
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,555.92,85.19,3.1,11.4,3.69,6.86,2.76,6.65
Burundi,BDI,"Inflation, consumer prices (annual %)",0,2.91,1.45,17.97,8.6,5.75,8.47,18.54,1.24,11.87,9.32,4.73,7.32,8.4
Belgium,BEL,"Inflation, consumer prices (annual %)",1.8,3.53,2.67,7.57,7.4,2.4,2.84,1.45,2.7,2.17,2,1.63,0.74,2.44
Benin,BEN,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,7.79,5.78,2.6,3.86,2.31,0.23,3.2,1.73
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",7.9,2.72,4.9,12.72,8.96,1.8,5.8,3.98,1.7,4.36,1.22,0.27,1.88,3.65
Bangladesh,BGD,"Inflation, consumer prices (annual %)",0,0,0,0,0,4.67,4.89,6.5,4.16,7.45,8.5,5.71,5.69,5.55
Bulgaria,BGR,"Inflation, consumer prices (annual %)",0,0,0,0,0,2.84,124.5,252.66,6.4,7.16,1.82,1.42,1.67,3.3
Bahrain,BHR,"Inflation, consumer prices (annual %)",0,1.54,0.77,14.88,5.48,0.98,0.98,0.61,0.31,2.83,2.5,1.82,2.32,0.61
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",0,4.64,2.32,6.6,7.44,5.12,4.33,1.32,1.97,2.61,1.75,1.56,0.4,2.9
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,2.93,1.35,0.3,1.5,1.98
Belarus,BLR,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,682.25,238.51,63.76,1.71,31.32,8.37,5.55,9.46
Belize,BLZ,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,"Inflation, consumer prices (annual %)",6.89,5.15,6.2,1.13,351.97,2414.35,13.41,7.43,2.98,7.15,5.68,2.92,0.94,0.74
Brazil,BRA,"Inflation, consumer prices (annual %)",0,0,0,0,15.88,532.26,1667.15,19.35,8.73,5.5,5.92,5.72,3.21,8.3
Barbados,BRB,"Inflation, consumer prices (annual %)",0,3.8,1.9,11.26,9.85,3.92,3.32,2.45,1.63,5.84,4.67,2.52,0,0
